subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
73,SelfAdmin,One,0,5,2,1,0-5 min
73,SelfAdmin,One,5,10,0,0,5-10 min
73,SelfAdmin,One,10,15,4,1,10-15 min
73,SelfAdmin,One,15,20,0,3,15-20 min
73,SelfAdmin,One,20,25,5,0,20-25 min
73,SelfAdmin,One,25,30,0,0,25-30 min
73,SelfAdmin,One,30,35,0,0,30-35 min
73,SelfAdmin,One,35,40,3,0,35-40 min
73,SelfAdmin,One,40,45,1,0,40-45 min
73,SelfAdmin,One,45,50,1,0,45-50 min
73,SelfAdmin,One,50,55,1,0,50-55 min
73,SelfAdmin,One,55,60,1,0,55-60 min
73,SelfAdmin,One,60,65,1,0,60-65 min
73,SelfAdmin,One,65,70,1,0,65-70 min
73,SelfAdmin,One,70,75,2,0,70-75 min
73,SelfAdmin,One,75,80,2,0,75-80 min
73,SelfAdmin,One,80,85,1,0,80-85 min
73,SelfAdmin,One,85,90,4,0,85-90 min
73,SelfAdmin,One,90,95,0,0,90-95 min
73,SelfAdmin,One,95,100,1,0,95-100 min
73,SelfAdmin,One,100,105,3,0,100-105 min
73,SelfAdmin,One,105,110,3,0,105-110 min
73,SelfAdmin,One,110,115,1,0,110-115 min
73,SelfAdmin,One,115,120,1,0,115-120 min
73,SelfAdmin,One,120,125,3,0,120-125 min
73,SelfAdmin,One,125,130,1,0,125-130 min
73,SelfAdmin,One,130,135,0,0,130-135 min
73,SelfAdmin,One,135,140,2,0,135-140 min
73,SelfAdmin,One,140,145,0,0,140-145 min
73,SelfAdmin,One,145,150,2,0,145-150 min
73,SelfAdmin,One,150,155,1,2,150-155 min
73,SelfAdmin,One,155,160,2,0,155-160 min
73,SelfAdmin,One,160,165,0,1,160-165 min
73,SelfAdmin,One,165,170,2,3,165-170 min
73,SelfAdmin,One,170,175,1,3,170-175 min
73,SelfAdmin,One,175,180,2,3,175-180 min
74,SelfAdmin,One,0,5,0,1,0-5 min
74,SelfAdmin,One,5,10,0,0,5-10 min
74,SelfAdmin,One,10,15,0,0,10-15 min
74,SelfAdmin,One,15,20,1,2,15-20 min
74,SelfAdmin,One,20,25,0,0,20-25 min
74,SelfAdmin,One,25,30,0,0,25-30 min
74,SelfAdmin,One,30,35,0,0,30-35 min
74,SelfAdmin,One,35,40,0,0,35-40 min
74,SelfAdmin,One,40,45,0,0,40-45 min
74,SelfAdmin,One,45,50,0,0,45-50 min
74,SelfAdmin,One,50,55,0,0,50-55 min
74,SelfAdmin,One,55,60,0,0,55-60 min
74,SelfAdmin,One,60,65,0,0,60-65 min
74,SelfAdmin,One,65,70,0,0,65-70 min
74,SelfAdmin,One,70,75,0,0,70-75 min
74,SelfAdmin,One,75,80,0,0,75-80 min
74,SelfAdmin,One,80,85,0,0,80-85 min
74,SelfAdmin,One,85,90,0,0,85-90 min
74,SelfAdmin,One,90,95,0,0,90-95 min
74,SelfAdmin,One,95,100,0,0,95-100 min
74,SelfAdmin,One,100,105,0,0,100-105 min
74,SelfAdmin,One,105,110,0,0,105-110 min
74,SelfAdmin,One,110,115,0,0,110-115 min
74,SelfAdmin,One,115,120,0,0,115-120 min
74,SelfAdmin,One,120,125,0,0,120-125 min
74,SelfAdmin,One,125,130,0,0,125-130 min
74,SelfAdmin,One,130,135,0,0,130-135 min
74,SelfAdmin,One,135,140,0,0,135-140 min
74,SelfAdmin,One,140,145,0,0,140-145 min
74,SelfAdmin,One,145,150,0,0,145-150 min
74,SelfAdmin,One,150,155,0,0,150-155 min
74,SelfAdmin,One,155,160,0,0,155-160 min
74,SelfAdmin,One,160,165,0,0,160-165 min
74,SelfAdmin,One,165,170,0,0,165-170 min
74,SelfAdmin,One,170,175,0,0,170-175 min
74,SelfAdmin,One,175,180,0,0,175-180 min
75,SelfAdmin,One,0,5,2,2,0-5 min
75,SelfAdmin,One,5,10,1,2,5-10 min
75,SelfAdmin,One,10,15,5,0,10-15 min
75,SelfAdmin,One,15,20,0,0,15-20 min
75,SelfAdmin,One,20,25,0,0,20-25 min
75,SelfAdmin,One,25,30,0,10,25-30 min
75,SelfAdmin,One,30,35,0,0,30-35 min
75,SelfAdmin,One,35,40,0,0,35-40 min
75,SelfAdmin,One,40,45,0,0,40-45 min
75,SelfAdmin,One,45,50,0,0,45-50 min
75,SelfAdmin,One,50,55,0,0,50-55 min
75,SelfAdmin,One,55,60,0,0,55-60 min
75,SelfAdmin,One,60,65,0,0,60-65 min
